model,backend,task,status,metric_name,metric_value,infer_ms_mean,infer_ms_p95,peak_rss_mb,energy_j,error
smolvlm-256m,fp32,docvqa,ok,docvqa,0.21817828723001137,23389.768473328633,23584.154039996793,6472.328125,314.062982,
smolvlm-256m,onnx-int8,docvqa,ok,docvqa,0.3771058921630373,13202.958848007256,13395.040361394058,10138.36328125,192.239722,
smolvlm-256m,fp32,ocrbench,ok,ocrbench,0.325,27293.209422340926,27415.580389316892,6072.44140625,398.49021,
smolvlm-256m,onnx-int8,ocrbench,ok,ocrbench,0.4083333333333333,15307.565659003254,15591.013761403156,9119.0859375,228.756084,
moondream2,fp32,docvqa,ok,docvqa,0.7698012170642148,215599.2436716624,218704.97716249956,9216.296875,3131.523479,
moondream2,onnx-int8,docvqa,unsupported,,,,,,,
moondream2,fp32,ocrbench,ok,ocrbench,0.625,84545.96440066234,84649.71169399214,9305.80859375,1232.80853,
moondream2,onnx-int8,ocrbench,unsupported,,,,,,,
florence2-base,fp32,docvqa,ok,docvqa,0.0,9743.864179006778,9753.945862091496,6126.56640625,137.708684,
florence2-base,onnx-int8,docvqa,ok,docvqa,0.0,6634.621427666086,6638.2528406975325,6964.82421875,103.158422,
florence2-base,fp32,ocrbench,ok,ocrbench,0.5333333333333333,2599.1523160094707,2685.5533772788476,6578.97265625,40.832666,
florence2-base,onnx-int8,ocrbench,ok,ocrbench,0.38333333333333336,4106.953308335505,4312.880063708872,6580.046875,59.291047,
internvl2_5-2b,fp32,docvqa,ok,docvqa,0.5127278028154396,9018.310082668904,9048.734779591905,12137.09375,135.780683,
internvl2_5-2b,onnx-int8,docvqa,unsupported,,,,,,,
internvl2_5-2b,fp32,ocrbench,ok,ocrbench,0.5833333333333334,14380.028016011542,14383.207022445276,11080.90625,205.672347,
internvl2_5-2b,onnx-int8,ocrbench,unsupported,,,,,,,
